timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
1026298589,1026298383,527625,-0.54683334,0.23683333,0.052916665,nan,0
1027298642,1027298425,527625,-0.546,0.24166666,0.051666666,nan,0
1028298625,1028298422,527625,-0.54875,0.24333332,0.050833333,nan,0
1029298576,1029298371,527625,-0.546,0.24125,0.053916667,nan,0
1030298566,1030298365,527625,-0.5491667,0.23391667,0.050416667,nan,0
1031298573,1031298366,527625,-0.54141665,0.24166666,0.051666666,nan,0
1032298572,1032298367,527625,-0.5430833,0.23083334,0.06516667,nan,0
1033298572,1033298368,527625,-0.54833335,0.24291666,0.056833334,nan,0
1034278570,1034278367,527625,-0.54683334,0.24125,0.050416667,nan,0
1035298616,1035298415,527625,-0.5475,0.24166666,0.050833333,nan,0
1036298613,1036298379,527625,-0.54475,0.24558333,0.056833334,nan,0
1037298576,1037298375,527625,-0.54141665,0.23516667,0.049166664,nan,0
1038298567,1038298365,527625,-0.55041665,0.24975,0.05725,nan,0
1039298576,1039298369,527625,-0.546,0.24416666,0.06266667,nan,0
1040298585,1040298382,527625,-0.54833335,0.23808333,0.0475,nan,0
1041298575,1041298373,527625,-0.5495833,0.23891667,0.054333333,nan,0
1042298571,1042298365,527625,-0.54833335,0.24041666,0.06266667,nan,0
1043298586,1043298377,527625,-0.5491667,0.24374999,0.05975,nan,0
1044298587,1044298365,527625,-0.5455833,0.23475,0.04625,nan,0
1045298593,1045298363,527625,-0.5475,0.23641667,0.059333332,nan,0
1046298574,1046298365,527625,-0.55041665,0.23891667,0.052916665,nan,0
1047298602,1047298376,527625,-0.5451667,0.24208333,0.058083333,nan,0
1048298582,1048298374,527625,-0.54433334,0.23683333,0.043333333,nan,0
1049298593,1049298390,527625,-0.5470833,0.23475,0.058083333,nan,0
