timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1027403881,1027403071,-0.29601267,0.011563938,-0.009982007,0.9550619,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027453908,1027453195,-0.29600412,0.011573277,-0.009984645,0.95506436,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027499078,1027498345,-0.29599625,0.0115870545,-0.009995887,0.9550665,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027554349,1027553573,-0.29598957,0.011604959,-0.009995143,0.95506835,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027604402,1027603632,-0.29600093,0.011618602,-0.010006403,0.9550646,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027649551,1027648840,-0.2960031,0.0116275605,-0.010015752,0.9550637,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027699665,1027698963,-0.2960025,0.011636945,-0.010015893,0.95506376,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027754982,1027754227,-0.29600304,0.011646909,-0.010022645,0.9550634,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027799895,1027799124,-0.29599822,0.011658227,-0.010029076,0.9550647,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027850039,1027849291,-0.29600197,0.011673339,-0.010023539,0.9550634,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027905459,1027904580,-0.29599807,0.011689948,-0.010027624,0.95506436,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1027950753,1027949696,-0.29599944,0.011687199,-0.010024574,0.95506406,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028000870,1027999918,-0.29600072,0.011698561,-0.010020769,0.9550635,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028050912,1028050072,-0.29599297,0.011715239,-0.010026748,0.95506567,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028101165,1028100158,-0.2959879,0.01172037,-0.010022918,0.9550672,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028152233,1028150196,-0.29597422,0.011722849,-0.010026448,0.95507133,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028201378,1028200333,-0.29595828,0.011727089,-0.010032201,0.9550762,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028251561,1028250571,-0.29593852,0.011739099,-0.010051169,0.95508194,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028301641,1028300764,-0.29592156,0.011742329,-0.010056359,0.95508724,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028351788,1028350873,-0.29590192,0.011751788,-0.010063979,0.955093,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028402182,1028401020,-0.29588166,0.011754163,-0.010062612,0.95509934,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028452163,1028451125,-0.29584935,0.011765494,-0.010071003,0.95510906,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028502321,1028501298,-0.29582933,0.011763947,-0.010081749,0.95511526,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028552414,1028551455,-0.2957991,0.0117611615,-0.0100947535,0.9551245,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028602487,1028601642,-0.29577082,0.011765896,-0.010099049,0.95513314,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028652454,1028651698,-0.29574826,0.011769188,-0.010105234,0.95514,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028702710,1028701959,-0.29573104,0.011764796,-0.010104769,0.95514536,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028752822,1028752075,-0.29572937,0.011757833,-0.010117398,0.95514584,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028802974,1028802157,-0.2957198,0.011778505,-0.010122679,0.95514846,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028853181,1028852397,-0.29570603,0.01177399,-0.01012977,0.95515275,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028903263,1028902513,-0.29570624,0.01178364,-0.010134327,0.9551526,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1028953422,1028952638,-0.2957017,0.011782239,-0.010144219,0.9551539,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029003462,1029002759,-0.29569423,0.011787235,-0.010152506,0.95515597,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029053639,1029052902,-0.29568905,0.01180012,-0.0101515865,0.9551574,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029098902,1029098121,-0.29567358,0.011791099,-0.010151991,0.95516235,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029154110,1029151384,-0.2956553,0.01178901,-0.010147224,0.95516807,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029202612,1029201573,-0.29564247,0.011790644,-0.01013868,0.95517206,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029252718,1029251923,-0.29562494,0.0117862625,-0.010149119,0.9551775,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029302812,1029301838,-0.29560372,0.011806827,-0.010159411,0.9551837,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029352970,1029352199,-0.29558232,0.0118052885,-0.01015722,0.95519036,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029403587,1029402216,-0.29556558,0.011822254,-0.010171165,0.9551951,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029453359,1029452568,-0.29555055,0.011829485,-0.010183004,0.95519966,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029503631,1029502457,-0.29553926,0.011843972,-0.010182388,0.955203,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029553668,1029552870,-0.29553536,0.011850041,-0.01020024,0.95520383,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029603713,1029602755,-0.29553345,0.011848999,-0.010191833,0.9552046,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029653988,1029652974,-0.2955341,0.011867768,-0.010208168,0.95520395,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029704008,1029703092,-0.29552978,0.011870992,-0.010206884,0.9552052,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029754163,1029753399,-0.29552934,0.011878605,-0.01020713,0.95520526,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029799433,1029798372,-0.2955361,0.011884682,-0.010218479,0.955203,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029854462,1029853726,-0.29552937,0.011881994,-0.010216078,0.9552052,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029904496,1029903716,-0.29554144,0.011882652,-0.010223306,0.9552014,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1029949551,1029948817,-0.29553553,0.01189314,-0.010239944,0.9552028,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030004742,1030003987,-0.2955445,0.01189346,-0.01022918,0.9552002,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030054846,1030054127,-0.2955491,0.011898685,-0.0102456715,0.9551985,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030100140,1030099325,-0.29554644,0.011898154,-0.010237337,0.9551995,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030150190,1030149439,-0.295543,0.011891383,-0.010238244,0.9552006,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030205253,1030204542,-0.29554543,0.011885306,-0.010233477,0.95519996,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030250490,1030249767,-0.29555333,0.011888988,-0.010229122,0.9551975,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030300744,1030299843,-0.29555708,0.011891767,-0.010242298,0.95519626,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030355829,1030355067,-0.29556146,0.011891191,-0.010249016,0.95519483,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030400885,1030400124,-0.29555276,0.011895171,-0.010245728,0.95519745,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030451249,1030450275,-0.29555434,0.011906204,-0.010245559,0.95519686,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030501637,1030500560,-0.29555213,0.011906227,-0.01024557,0.9551975,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030551567,1030550650,-0.29556212,0.011899566,-0.010250804,0.9551945,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030601721,1030600818,-0.29556572,0.011892271,-0.010252193,0.9551934,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030652570,1030650891,-0.29557052,0.011899051,-0.010260857,0.95519173,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030702007,1030701109,-0.29557097,0.011901719,-0.010249697,0.9551917,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030752175,1030751271,-0.2955774,0.011900898,-0.0102597205,0.9551896,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030802430,1030801436,-0.29558137,0.011904908,-0.010254914,0.9551884,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030852579,1030851493,-0.29558614,0.01191549,-0.010268584,0.9551866,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030902545,1030901688,-0.295578,0.011922386,-0.010297974,0.95518875,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1030952723,1030951857,-0.29558036,0.011916044,-0.010296522,0.95518804,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031003003,1031001971,-0.29558033,0.011916078,-0.010284596,0.9551882,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031053059,1031052144,-0.2955929,0.01191724,-0.010312591,0.955184,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031103159,1031102284,-0.29559568,0.011917177,-0.010315056,0.95518315,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031153561,1031152425,-0.29558787,0.011917435,-0.010302682,0.95518565,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031203304,1031202577,-0.2955804,0.011930574,-0.010306641,0.9551878,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031253501,1031252731,-0.29555762,0.011933328,-0.01032858,0.95519453,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031303640,1031302933,-0.2955529,0.011928657,-0.0102993185,0.95519644,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031353754,1031353046,-0.29553103,0.011925757,-0.01033046,0.9552029,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031404026,1031403227,-0.29550043,0.011929272,-0.010321304,0.95521235,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031454180,1031453420,-0.29547864,0.011938408,-0.01031629,0.95521903,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031504192,1031503481,-0.29546213,0.011940398,-0.010329674,0.95522404,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031549347,1031548612,-0.29544526,0.011949269,-0.010327897,0.9552291,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031604522,1031603797,-0.29543456,0.011932654,-0.010328435,0.9552327,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031654510,1031653802,-0.29542124,0.01193541,-0.010324807,0.9552368,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031700167,1031699069,-0.29540676,0.011945045,-0.0103363935,0.95524096,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031755177,1031754271,-0.29539996,0.011944285,-0.010342264,0.95524305,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031805358,1031804441,-0.2954,0.011950714,-0.010345536,0.95524293,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031850437,1031849610,-0.29539472,0.01196338,-0.010362342,0.9552443,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031900633,1031899767,-0.29539326,0.011979991,-0.010374996,0.9552443,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
1031955834,1031954911,-0.29537606,0.011971398,-0.010373118,0.95524985,-0.30295298,-3.2596295e-09,-2.3283067e-09,0.95300555,1
